name,calories,protein,carbs,fat,cluster
Grilled Chicken Breast with Quinoa,470,40,35,20,2
Salmon with Brown Rice,520,38,45,22,2
Tofu Stir Fry,410,22,40,18,6
Beef Stew,360,28,20,16,6
Lentil Soup with Whole Wheat Bread,390,24,45,12,1
Chickpea Salad,370,18,35,16,6
Avocado Toast with Egg,430,20,30,28,6
Shrimp Pasta,550,35,50,20,9
Turkey Sandwich,400,30,32,14,6
Grilled Veggie Wrap,370,15,38,14,1
Omelette with Spinach and Feta,390,28,6,28,6
Greek Yogurt with Berries,300,20,25,10,6
Banana Peanut Butter Smoothie,450,18,40,22,3
Quinoa Bowl,500,25,50,20,3
Baked Cod with Roasted Veggies,460,35,25,18,2
Stuffed Bell Peppers,480,30,35,22,2
Black Bean Tacos,410,22,40,14,6
Protein Smoothie,250,20,10,8,6
Chicken Caesar Wrap,530,35,38,24,2
Egg Salad Sandwich,400,20,28,24,6
Vegan Buddha Bowl,510,22,55,18,3
Turkey Meatballs with Spaghetti,560,36,48,24,2
Chicken and Sweet Potato,480,32,45,18,2
Veggie Stir-Fry with Tofu,440,25,35,20,6
Miso Soup with Noodles,390,16,42,12,1
Cottage Cheese and Pineapple,280,22,22,10,6
Avocado Tuna Salad,420,30,12,28,2
Almond Butter Oatmeal,460,18,48,22,3
Grilled Portobello Burger,430,20,35,20,6
Chicken Fajitas,520,36,38,22,2
Pesto Pasta with Veggies,490,22,55,18,3
Eggplant Parmesan,470,24,40,22,3
Spinach Ricotta Stuffed Shells,460,26,42,20,3
Beef Tacos,530,34,30,28,2
Sushi Bowl,490,28,45,18,3
Pita with Hummus and Veggies,370,14,40,16,1
BBQ Chicken Sandwich,540,38,45,20,2
Tuna Pasta Salad,460,32,38,18,2
Curry Chickpeas with Rice,500,20,55,18,3
Mushroom Risotto,480,20,52,18,3
Zucchini Noodles with Turkey,410,32,20,20,6
Couscous Salad,390,14,44,14,1
Falafel Wrap,460,18,42,22,3
Tilapia with Mixed Veggies,440,36,28,18,2
Turkey Chili,500,34,30,24,2
Avocado Chicken Salad,470,32,15,30,2
Ricotta and Spinach Wrap,450,20,35,22,6
Tofu Scramble,390,22,12,28,6
Chicken Shawarma Rice Bowl,530,36,42,24,2
Vegetable Korma with Rice,520,20,55,20,3
Egg Muffins with Cheese,300,20,8,22,6
Scrambled eggs with whole wheat toast,350,20,30,15,6
Peanut butter banana smoothie [Nut-free],420,12,45,18,1
Grilled cheese sandwich with tomato soup,450,15,40,25,3
McDonald's Big Mac with fries,1080,32,128,56,8
Chicken teriyaki with white rice,580,42,75,12,9
Tuna salad sandwich on wheat bread,480,30,35,22,2
Instant ramen with egg and spinach,380,14,50,12,1
Beef tacos with corn tortillas,520,34,40,28,2
Greek yogurt with honey and granola,320,20,35,10,6
Spaghetti with meatballs and garlic bread,720,38,85,30,0
Oatmeal with raisins and walnuts,380,12,55,12,1
Turkey club sandwich with avocado,550,36,35,30,2
Vegetable stir fry with tofu [Vegan],420,22,35,18,6
Cheese pizza (2 slices),580,24,60,28,9
Grilled salmon with mashed potatoes,520,38,35,28,2
Protein shake with banana and peanut butter,400,32,35,16,6
Cereal with milk and banana [Nut-free],350,12,60,8,1
Chicken caesar salad (no croutons) [Gluten-free],450,40,12,28,2
PB&J sandwich on white bread,420,12,55,18,1
Baked potato with cheese and broccoli,480,18,60,20,3
Hard boiled eggs with avocado toast,420,20,30,25,6
Beef burger with sweet potato fries,680,42,55,35,5
Vegetable lasagna [Vegan],520,22,60,20,3
Shrimp scampi with linguine,620,38,70,22,9
Trail mix with dried fruit [Nut-free],320,8,40,16,1
Egg fried rice with vegetables,450,18,50,15,1
Grilled chicken wrap with ranch,520,38,35,28,2
Cottage cheese with pineapple [Nut-free],280,22,22,10,6
Pancakes with syrup and bacon,600,18,80,22,4
Black bean soup with cornbread,480,22,60,15,3
Chicken noodle soup with saltine crackers,320,18,35,10,6
Bagel with cream cheese and lox,480,22,50,22,3
Frozen chicken pot pie,620,22,55,35,5
Vegetable omelette with hash browns,450,28,30,25,2
